File Name, android:id, android:text
dialog_drive_window_robot_settings.xml, , DRIVING
dialog_drive_window_robot_settings.xml, , CAMERAS
dialog_drive_window_robot_settings.xml, @+id/_cruise_title, CRUISE CONTROL
dialog_drive_window_robot_settings.xml, @+id/cruise_control_seek_bar_information, 2 m/s
dialog_drive_window_robot_settings.xml, @+id/_manual_speed_title, MAX MANUAL SPEED
dialog_drive_window_robot_settings.xml, @+id/manual_speed_seek_bar_information, 2 m/s
dialog_drive_window_robot_settings.xml, @+id/_turn_speed_title, MAX TURN SPEED
dialog_drive_window_robot_settings.xml, @+id/turn_speed_seek_bar_information, 2 m/s
dialog_notes.xml, , Notes
dialog_notes.xml, @+id/save_dialog, SAVE
include_layer_drive_activity.xml, , Loading Stream ...
include_layer_drive_activity.xml, , Try to Save Again
include_layer_drive_activity.xml, @+id/notification_tv, An issue has been detected.
include_layer_drive_activity.xml, @+id/data_record_timer, 00:00
include_layer_drive_activity.xml, @+id/storage_low, Low Storage
include_layer_drive_activity.xml, @+id/battery_low, Battery Low
include_layer_drive_activity.xml, @+id/record_data_button_information, Record Data
include_layer_drive_activity.xml, @+id/cruise_speed_tv_title, Cruise Speed
include_layer_drive_activity.xml, @+id/cruise_control_speed_tv, 1.5m/s
include_layer_drive_activity.xml, @+id/turn_speed_tv_title, Turn Speed
include_layer_drive_activity.xml, @+id/turn_control_speed_tv, 1.5m/s
include_layer_drive_activity.xml, @+id/manual_speed_tv_title, Manual Speed
include_layer_drive_activity.xml, @+id/manual_control_speed_tv, 1.5m/s
include_layer_drive_activity.xml, @+id/streaming_toggle_button, OFF
include_layer_drive_activity.xml, @+id/camera_text_info, Streaming
include_layer_drive_activity.xml, @+id/cruise_control_tv, CRUISE CONTROL
include_layer_drive_activity.xml, @+id/cruise_control_toggle_button, OFF
include_layer_drive_activity.xml, @+id/row_following_tv, ROW FOLLOWING
include_layer_drive_activity.xml, @+id/row_following_button, OFF
activity_gps_configuration.xml, , GPS SUBSCRIPTION CONFIGURATION
activity_gps_configuration.xml, , Username :
activity_gps_configuration.xml, , Password :
activity_gps_configuration.xml, , Host :
activity_gps_configuration.xml, , Mount Point :
activity_gps_configuration.xml, , Port :
activity_gps_configuration.xml, @+id/remove_button, Reset
activity_gps_configuration.xml, @+id/save_button, Save
dialog_mission_start.xml, , RANGE IDENTIFICATION
dialog_mission_start.xml, @+id/__MISSION_DIALOG_COLUMN_TITLE_d, COLUMN
dialog_mission_start.xml, @+id/__MISSION_DIALOG_RANGE_TITLE_d, START RANGE
dialog_mission_start.xml, @+id/save_dialog, SAVE
activity_robot_overview.xml, , TERRASENTIA OVERVIEW
include_layer_main_activity.xml, @+id/__days_since_update, Days since last update check : 
include_layer_main_activity.xml, @+id/last_connected_time, N/A
include_layer_main_activity.xml, @+id/__syncing_title, Syncing files...
include_layer_main_activity.xml, @+id/status, Connecting...
include_layer_main_activity.xml, @+id/version_title, Version
include_layer_main_activity.xml, @+id/version_number, X.Y.Z
dialog_field_select.xml, @+id/selectFieldHeader, EXISTING FIELDS
activity_help_screen.xml, , HELP
activity_help_screen.xml, @+id/link, Please visit https://www.terrasentia.co/help  for any questions or concerns.
activity_help_screen.xml, @+id/emergency, For Emergencies :
activity_help_screen.xml, , (217)402-4767
dialog_mission_summary.xml, , Mission Summary
dialog_mission_summary.xml, , Interventions
widget_spinner_item.xml, @android:id/text1, 
activity_check_cameras.xml, , CAMERA CHECK
activity_check_cameras.xml, @+id/__FRONT_CAMERA_TV, Front Camera
activity_check_cameras.xml, @+id/frontCameraAngleTextView, 0°
activity_check_cameras.xml, @+id/__LEFT_CAMERA_TV, Left Camera
activity_check_cameras.xml, @+id/leftCameraAngleTextView, 0°
activity_check_cameras.xml, @+id/__RIGHT_CAMERA_TV, Right Camera
activity_check_cameras.xml, @+id/rightCameraAngleTextView, 0°
activity_check_cameras.xml, @+id/__BACK_CAMERA_TV, Top Camera
activity_check_cameras.xml, @+id/backCameraAngleTextView, 90°
activity_check_cameras.xml, @+id/camera_label_tv, FRONT CAMERA
activity_check_cameras.xml, @+id/notification_tv, Hi this is a description of an error and and this is a description of an error and and this is a description of an error and and 
activity_check_cameras.xml, @+id/camera_missing_tv, Camera Not Connected
include_layer_terra_overview_activity.xml, @+id/__ROBOT_STATUS_HEADER, ROBOT STATUS
include_layer_terra_overview_activity.xml, @+id/__DEVICES_HEADER, DEVICES
include_layer_terra_overview_activity.xml, , Wi-Fi
include_layer_terra_overview_activity.xml, @+id/wifi_information_tv, TERRASENTIA-SSID
include_layer_terra_overview_activity.xml, , Battery
include_layer_terra_overview_activity.xml, @+id/battery_information_tv, ---
include_layer_terra_overview_activity.xml, , Storage remaining
include_layer_terra_overview_activity.xml, @+id/data_usage_information_tv, ---
include_layer_terra_overview_activity.xml, @+id/__temperature, Temperature
include_layer_terra_overview_activity.xml, @+id/temperature_warning_tv, ---
include_layer_terra_overview_activity.xml, @+id/__front_camera_tv, FRONT CAMERA
include_layer_terra_overview_activity.xml, @+id/front_camera_information_tv, Not Connected
include_layer_terra_overview_activity.xml, @+id/__left_camera_tv, LEFT CAMERA
include_layer_terra_overview_activity.xml, @+id/left_camera_information_tv, Not Connected
include_layer_terra_overview_activity.xml, @+id/__right_camera_tv, RIGHT CAMERA
include_layer_terra_overview_activity.xml, @+id/right_camera_information_tv, Not Connected
include_layer_terra_overview_activity.xml, @+id/__back_camera_tv, BACK CAMERA
include_layer_terra_overview_activity.xml, @+id/back_camera_information_tv, Not Connected
include_layer_terra_overview_activity.xml, @+id/__horizontal_lidar, HORIZONTAL LIDAR
include_layer_terra_overview_activity.xml, @+id/horizontal_lidar_information_tv, Not Connected
include_layer_terra_overview_activity.xml, @+id/__vertical_lidar, VERTICAL LIDAR
include_layer_terra_overview_activity.xml, @+id/vertical_lidar_information_tv, Not Connected
include_layer_terra_overview_activity.xml, @+id/__gps, GPS
include_layer_terra_overview_activity.xml, @+id/gps_information_tv, Not Connected
add_view_layer_field_row.xml, @+id/text, name
add_view_inmission_summary_item.xml, @+id/tracker_issues_tv, 10
add_view_inmission_summary_item.xml, , Start : 
add_view_inmission_summary_item.xml, @+id/start_date_tv, "24 JAN~ 10:40PM"
add_view_inmission_summary_item.xml, , Duration 
add_view_inmission_summary_item.xml, @+id/stop_date_tv, 00:00:00
add_view_inmission_summary_item.xml, @+id/__columns_title, Column
add_view_inmission_summary_item.xml, @+id/start_column_tv, 10
add_view_inmission_summary_item.xml, @+id/stop_column_tv, 100
add_view_inmission_summary_item.xml, @+id/__ranges_title, Range
